"GroundSpeed";"Heading";"IsDelayed";"IsOnRoute";"Latitude";"Longitude";"Name";"RouteID";"Seconds";"TimeStamp";"VehicleID";"timestamp"
0;0;FALSE;TRUE;39.67521;-75.74124;"Bus 320";29;14;"/Date(1734202757000-0700)/";13;"2024-12-14_115903_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74124;"Bus 320";29;14;"/Date(1734202762000-0700)/";13;"2024-12-14_115908_AM_UTC"
0;0;FALSE;TRUE;39.67519;-75.74124;"Bus 320";29;14;"/Date(1734202767000-0700)/";13;"2024-12-14_115913_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74123;"Bus 320";29;14;"/Date(1734202772000-0700)/";13;"2024-12-14_115918_AM_UTC"
0;0;FALSE;TRUE;39.67521;-75.74122;"Bus 320";29;14;"/Date(1734202777000-0700)/";13;"2024-12-14_115924_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74123;"Bus 320";29;13;"/Date(1734202782000-0700)/";13;"2024-12-14_115929_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74123;"Bus 320";29;13;"/Date(1734202787000-0700)/";13;"2024-12-14_115934_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74123;"Bus 320";29;13;"/Date(1734202792000-0700)/";13;"2024-12-14_115939_AM_UTC"
0;0;FALSE;TRUE;39.67519;-75.74123;"Bus 320";29;13;"/Date(1734202797000-0700)/";13;"2024-12-14_115944_AM_UTC"
0;0;FALSE;TRUE;39.6752;-75.74123;"Bus 320";29;13;"/Date(1734202802000-0700)/";13;"2024-12-14_115950_AM_UTC"
0;0;FALSE;TRUE;39.67521;-75.74124;"Bus 320";29;17;"/Date(1734202812000-0700)/";13;"2024-12-14_115955_AM_UTC"
0;0;FALSE;TRUE;39.67521;-75.74124;"Bus 320";29;13;"/Date(1734202812000-0700)/";13;"2024-12-14_120000_PM_UTC"
0;0;FALSE;TRUE;39.67521;-75.74124;"Bus 320";29;12;"/Date(1734202817000-0700)/";13;"2024-12-14_120005_PM_UTC"
