"date","busOrRouteName","busesOrRoutes","idleTime","runTime","idleRatio"
"2024-12-13 06:57:03","Bus 180","30",18255,42913,0.425395567776664
"2024-12-13 07:00:46","Bus 320","29",13404,42736,0.313646574316735
"2024-12-13 07:09:28","Bus 322","28",16476,56879,0.289667539865328
"2024-12-13 07:45:42","Bus 319","30",21678,53770,0.403161614283057
"2024-12-13 08:01:05","Bus 318","29",3691,14828,0.248920960345293
"2024-12-13 14:57:20","Bus 325","29",8759,26261,0.333536422832337
"2024-12-13 15:08:47","Bus 317","29",2843,8313,0.341994466498256
"2024-12-13 17:47:21","Bus 313","30",125,206,0.606796116504854
"2024-12-13 06:28:06","total","allBuses",115036,345121,0.333320777350552
"2024-12-13 06:28:06","28","Bus 322, Bus 324",22668,59361,0.381866882296457
"2024-12-13 06:43:57","29","Bus 236, Bus 312, Bus 317, Bus 318, Bus 320, Bus 325",52310,55864,0.936381211513676
"2024-12-13 06:57:03","30","Bus 180, Bus 313, Bus 319",40058,56689,0.706627388029424
"2024-12-14 06:51:27","Bus 320","29",7262,19975,0.363554443053817
"2024-12-14 07:05:14","Bus 325","28",11909,41201,0.28904638236936
"2024-12-14 07:14:41","Bus 180","30",6932,18587,0.372948835207403
"2024-12-14 11:48:15","Bus 319","29, 30",8025,23814,0.336986646510456
"2024-12-14 12:19:42","Bus 188","30",8550,20452,0.418052024251907
"2024-12-14 17:46:38","Bus 236","30",8712,18308,0.475857548612628
"2024-12-14 17:46:48","Bus 317","29",6469,17062,0.379146641659829
"2024-12-14 18:01:06","Bus 312","28",2763,17351,0.15924154227422
"2024-12-14 06:51:27","total","allBuses",60622,176750,0.342981612446959
"2024-12-14 06:51:27","29","Bus 317, Bus 319, Bus 320",20944,56383,0.37145948246812
"2024-12-14 07:05:14","28","Bus 312, Bus 325",14672,56703,0.258751741530431
"2024-12-14 07:14:41","30","Bus 180, Bus 188, Bus 236, Bus 319",25006,56225,0.444748777234326
